Spectrum,Type,Name,Norm,Time/h,Na2O,Na2O.err,MgO,MgO.err,Al2O3,Al2O3.err,SiO2,SiO2.err,P2O5,P2O5.err,SO3,SO3.err,Cl,Cl.err,K2O,K2O.err,CaO,CaO.err,TiO2,TiO2.err,Cr2O3,Cr2O3.err,MnO,MnO.err,FeO,FeO.err,Ni,Ni.err,Zn,Zn.err,Br,Br.err
B3392_SM,RU,TickBush,45,6.7,2.89,0.23,5.65,0.11,12.47,0.15,48.17,0.46,1.21,0.08,4.49,0.08,0.98,0.02,0.57,0.06,7.16,0.06,1.08,0.09,0.11,0.03,1.00,0.02,14.00,0.11,913,58,696,24,51,17
B3396_SM,RU,TuckBush2,42,5.0,3.10,0.24,4.90,0.11,13.97,0.18,49.80,0.50,1.27,0.09,2.67,0.06,0.67,0.02,0.49,0.06,7.29,0.07,1.17,0.08,0.10,0.03,1.20,0.02,13.17,0.12,985,66,670,27,40,18
B3403_CS,RB,Platypus,53,3.0,2.13,0.24,4.43,0.11,8.22,0.13,46.20,0.50,1.00,0.09,8.65,0.14,1.44,0.03,0.78,0.07,5.91,0.07,1.05,0.08,0.27,0.04,0.18,0.02,19.52,0.17,368,63,764,35,1004,36
B3415_SM,RU,Dibbler,48,10.0,2.12,0.19,6.84,0.09,8.85,0.11,44.48,0.41,0.95,0.08,8.05,0.10,0.79,0.02,0.52,0.06,7.12,0.05,0.91,0.07,0.33,0.03,0.35,0.01,18.56,0.12,378,46,431,17,222,18
B3422_CS,RU,MonjonPurple,47,3.7,2.09,0.20,4.24,0.08,8.79,0.11,47.91,0.36,1.05,0.08,6.28,0.10,1.56,0.03,0.83,0.07,4.58,0.05,1.04,0.08,0.26,0.04,0.27,0.01,20.94,0.11,268,59,877,35,444,26
B3423_SM,RU,MonjonGrey,55,4.6,2.10,0.21,4.29,0.09,9.02,0.12,48.03,0.48,0.98,0.08,5.86,0.10,1.58,0.03,0.81,0.07,4.47,0.05,1.06,0.08,0.26,0.04,0.58,0.02,20.76,0.15,412,56,995,32,352,23
B3427_SM,RU,PovertyBush,55,6.5,2.01,0.19,4.87,0.08,7.60,0.10,42.57,0.36,1.08,0.08,13.06,0.13,1.68,0.03,0.60,0.06,7.62,0.06,0.90,0.07,0.22,0.03,0.21,0.01,17.43,0.10,134,43,800,23,685,24
B3434_CS,RB,WallyWombat,57,2.9,2.22,0.24,4.37,0.11,8.53,0.14,45.47,0.50,1.06,0.09,9.55,0.15,1.70,0.04,0.79,0.07,6.30,0.07,0.96,0.09,0.25,0.04,0.24,0.02,18.46,0.16,196,58,553,30,293,25
B3445_SM,RB,Callitris,54,6.2,1.54,0.22,5.52,0.11,6.71,0.16,39.45,0.40,1.06,0.10,18.77,0.20,0.84,0.02,0.49,0.06,7.46,0.06,0.82,0.07,0.21,0.03,0.15,0.01,16.93,0.12,275,48,330,18,65,16
B3463_CS,RB,Spinifex,53,4.1,2.32,0.22,8.85,0.13,8.76,0.14,45.68,0.47,1.18,0.09,5.52,0.10,0.95,0.02,0.70,0.07,6.18,0.06,1.04,0.08,0.22,0.04,0.78,0.02,17.63,0.14,537,59,460,24,706,29
B3468_CS,RU,Baobab,49,4.4,2.38,0.26,7.38,0.15,9.51,0.21,46.11,0.50,1.03,0.10,6.94,0.11,0.91,0.02,0.44,0.06,6.68,0.07,1.09,0.08,0.28,0.04,0.35,0.02,16.79,0.14,377,56,353,22,137,21
B3475_CS,SU,YGB,57,3.7,2.25,0.23,7.16,0.14,8.79,0.20,44.41,0.47,1.01,0.09,8.07,0.12,0.93,0.02,0.52,0.06,6.73,0.07,1.03,0.08,0.31,0.04,0.36,0.02,18.33,0.15,482,58,488,25,44,19
B3498_CS,RU,Tangalooma,47,4.9,2.04,0.20,8.58,0.11,9.43,0.11,45.74,0.35,1.15,0.08,7.82,0.11,0.74,0.02,0.23,0.06,6.29,0.06,1.09,0.08,0.20,0.03,0.36,0.01,16.25,0.09,523,57,118,16,97,18
B3502_CS,RU,MountTempest,49,4.7,2.39,0.21,7.48,0.10,10.30,0.12,46.32,0.35,1.18,0.08,6.25,0.09,0.75,0.02,0.30,0.06,7.14,0.06,1.16,0.08,0.21,0.03,0.40,0.01,16.07,0.09,342,52,87,14,43,16
B3522_CS,RU,CapeDarby,46,3.6,2.25,0.24,6.96,0.13,9.39,0.16,46.26,0.51,0.97,0.09,7.20,0.12,1.06,0.03,0.46,0.06,6.67,0.07,1.13,0.08,0.25,0.04,0.31,0.02,16.98,0.15,394,62,258,23,112,21
B3535_CS,RU,CapeDarby2,50,4.1,2.37,0.19,7.13,0.10,9.23,0.11,45.47,0.34,0.98,0.08,7.66,0.11,1.17,0.03,0.49,0.06,6.47,0.06,1.18,0.08,0.27,0.04,0.35,0.01,17.13,0.10,394,56,203,19,110,18
B3542_CS,RB,CapeElizabeth,51,2.3,2.54,0.29,8.01,0.19,9.06,0.28,44.69,0.55,0.89,0.11,9.17,0.16,1.12,0.03,0.36,0.06,5.92,0.08,0.96,0.09,0.20,0.04,0.26,0.02,16.73,0.16,447,68,121,22,78,20
B3546_CS,RU,PinnacleIsland,21,3.8,1.01,0.25,12.06,0.21,5.75,0.15,28.09,0.40,1.57,0.13,25.44,0.38,0.92,0.04,0.32,0.07,5.45,0.09,0.76,0.09,0.21,0.05,1.67,0.05,16.62,0.18,661,99,185,34,262,31
B3548_CS,RU,PinnacleIsland2,27,4.3,1.02,0.37,13.26,0.23,4.70,0.15,23.83,0.31,2.18,0.14,28.81,0.38,0.95,0.03,0.17,0.06,6.08,0.08,0.62,0.08,0.12,0.04,2.12,0.04,15.95,0.16,884,87,130,25,476,30
B3551_CS,RU,PinnacleIsland3,28,3.8,0.86,0.19,13.00,0.17,3.48,0.08,18.05,0.21,2.37,0.12,34.51,0.36,0.66,0.03,0.14,0.06,7.66,0.09,0.44,0.07,0.10,0.04,3.48,0.06,15.07,0.12,1001,93,155,27,334,28
B3560_CS,RU,PinnacleIsland4,19,3.0,1.57,0.29,9.43,0.21,7.57,0.20,36.19,0.53,1.33,0.13,16.44,0.31,0.91,0.04,0.41,0.07,5.69,0.10,0.91,0.10,0.22,0.05,1.30,0.05,17.94,0.21,354,111,204,43,144,34
B3564_CS,RU,PinnacleIsland5,28,3.1,0.84,0.24,11.50,0.20,3.68,0.11,20.13,0.30,2.44,0.14,32.70,0.46,0.65,0.03,0.13,0.06,8.26,0.11,0.58,0.08,0.10,0.04,3.35,0.07,15.50,0.17,736,96,116,29,269,32
B3569_CS,RB,GreenIsland,53,4.0,2.53,0.22,7.31,0.12,8.89,0.14,43.30,0.45,0.99,0.09,10.48,0.15,1.54,0.03,0.37,0.06,6.38,0.06,1.02,0.08,0.19,0.04,0.27,0.01,16.66,0.14,376,55,152,17,65,18
B3573_CS,RU,StuartIsland1,51,4.6,0.93,0.17,12.31,0.13,5.67,0.08,27.32,0.24,1.08,0.09,28.20,0.25,0.22,0.01,0.18,0.06,5.36,0.05,0.78,0.07,0.13,0.03,1.57,0.03,16.18,0.10,547,57,82,15,40,16
B3574_CS,RU,StuartIsland2,56,3.1,0.82,0.20,14.49,0.19,4.38,0.09,22.52,0.27,0.91,0.10,33.31,0.37,0.26,0.02,0.12,0.06,3.75,0.05,0.65,0.08,0.17,0.04,2.01,0.04,16.53,0.14,715,66,111,18,88,20
B3575_CS,RU,StuartIsland3,45,3.3,0.53,0.21,15.58,0.21,3.60,0.08,16.08,0.21,0.98,0.11,38.21,0.43,0.21,0.02,0.09,0.06,4.05,0.06,0.57,0.08,0.14,0.04,2.85,0.05,16.97,0.15,1024,78,175,22,77,21
B3577_CS,RU,StuartIsland4,50,3.8,0.86,0.20,11.65,0.16,4.87,0.09,25.62,0.30,1.40,0.10,28.95,0.33,0.33,0.02,0.28,0.06,4.85,0.06,0.65,0.08,0.16,0.04,3.37,0.05,16.84,0.14,1022,72,231,21,77,20
B3581_CS,SD,AnchorPoint1,40,4.2,1.74,0.33,8.14,0.15,7.00,0.11,37.77,0.35,1.82,0.10,15.09,0.18,0.43,0.02,0.33,0.06,7.28,0.07,0.95,0.08,0.35,0.04,0.75,0.02,18.23,0.12,372,62,218,21,117,19
B3583_CS,SD,AnchorPoint2,53,4.7,1.92,0.21,8.52,0.12,7.86,0.12,39.31,0.40,1.53,0.09,12.06,0.15,0.45,0.02,0.35,0.06,7.07,0.07,1.07,0.08,0.38,0.04,1.01,0.02,18.34,0.14,603,58,198,18,180,20
B3587_CS,RU,SledgeIsland1,43,4.1,2.48,0.25,6.35,0.13,10.44,0.16,47.64,0.51,0.82,0.09,7.74,0.13,0.65,0.02,0.28,0.06,9.65,0.09,0.63,0.07,0.21,0.04,0.30,0.02,12.76,0.12,123,51,138,18,94,19
B3598_CS,RB,TurnagainArm,52,1.7,2.32,0.31,8.05,0.22,9.10,0.31,44.48,0.60,0.95,0.11,9.37,0.19,1.36,0.04,0.36,0.07,5.98,0.09,1.04,0.10,0.20,0.04,0.28,0.02,16.40,0.17,453,76,114,25,167,26
B3603_CS,RU,Augustine,51,4.2,2.15,0.19,7.95,0.10,11.00,0.13,46.70,0.35,0.98,0.08,4.66,0.08,0.53,0.02,0.32,0.06,7.09,0.06,1.20,0.08,0.21,0.03,0.29,0.01,16.86,0.10,449,56,101,15,15,16
B3616_CS,RU,PointBede,55,10.5,2.19,0.18,7.77,0.10,11.01,0.12,46.10,0.41,0.65,0.07,5.35,0.07,0.61,0.01,0.28,0.06,6.77,0.05,1.23,0.07,0.20,0.03,0.31,0.01,17.47,0.11,438,43,107,10,58,15
B3630_CS,SU,MulgraveHills,53,3.4,2.30,0.24,7.19,0.13,9.67,0.16,46.73,0.50,0.97,0.09,5.61,0.10,0.78,0.02,0.55,0.07,7.52,0.08,1.12,0.09,0.32,0.04,0.34,0.02,16.79,0.14,285,56,226,21,93,20
B3657_CS,RU,AshMeadows,42,9.0,2.34,0.20,7.25,0.10,9.43,0.15,45.29,0.37,1.07,0.08,7.38,0.09,0.92,0.02,0.45,0.06,6.85,0.05,1.05,0.07,0.23,0.03,0.29,0.01,17.36,0.09,364,49,148,13,273,19
B3664_CS,RU,BristolWell1,45,9.0,2.15,0.20,6.98,0.10,8.50,0.12,42.78,0.40,1.01,0.08,11.00,0.13,0.95,0.02,0.49,0.06,9.42,0.07,0.94,0.07,0.27,0.03,0.34,0.01,15.08,0.11,312,47,321,17,75,17
B3666_CS,RU,BristolWell2,45,9.0,2.03,0.20,6.86,0.10,8.25,0.11,41.95,0.40,1.06,0.08,12.04,0.14,0.97,0.02,0.45,0.06,10.00,0.07,0.92,0.07,0.26,0.03,0.33,0.01,14.83,0.11,269,46,302,16,81,17
B3667_CS,RU,BristolWell3,34,3.7,2.03,0.28,7.14,0.15,8.89,0.18,45.36,0.53,1.00,0.10,7.36,0.14,1.05,0.03,0.50,0.07,7.17,0.09,1.15,0.09,0.27,0.04,0.36,0.02,17.61,0.16,365,73,361,30,102,24
B3671_SM,RB,Sarcobatus_Flat1,51,5.0,2.30,0.23,7.78,0.15,8.84,0.22,44.92,0.46,1.17,0.10,7.10,0.11,1.92,0.03,0.48,0.06,6.38,0.06,0.98,0.07,0.23,0.03,0.24,0.01,17.58,0.11,293,52,162,16,98,18
B3675_CS,RU,Sarcobatus_Clast,25,2.7,1.90,0.33,6.98,0.24,9.89,0.35,45.99,0.68,1.09,0.13,6.40,0.17,1.06,0.04,0.51,0.07,7.72,0.11,1.15,0.12,0.20,0.05,0.51,0.03,16.49,0.19,193,89,295,40,69,27
B3676_CS,RU,Sarcobatus_Clast2,28,9.0,2.00,0.22,6.21,0.12,11.23,0.15,46.21,0.46,1.61,0.09,6.12,0.10,0.83,0.02,0.44,0.06,8.17,0.07,1.41,0.09,0.14,0.04,0.27,0.01,15.28,0.12,292,57,151,18,69,19
B3679_CS,RU,Landshut,37,9.0,2.21,0.21,7.14,0.11,9.08,0.13,45.00,0.44,1.00,0.08,6.88,0.10,0.88,0.02,0.52,0.06,7.24,0.06,1.09,0.07,0.34,0.04,0.36,0.01,18.20,0.13,352,52,331,19,95,18
B3700_CS,RU,Mayfield,52,3.2,2.24,0.24,7.42,0.13,9.07,0.14,45.04,0.47,1.10,0.09,7.21,0.12,1.23,0.03,0.50,0.06,7.16,0.08,1.02,0.08,0.27,0.04,0.27,0.02,17.37,0.15,415,62,273,24,96,20
B3707_CS,RU,Sodaville,44,12.0,2.29,0.20,7.42,0.10,9.18,0.11,45.42,0.41,1.01,0.08,6.69,0.08,1.12,0.02,0.55,0.06,6.56,0.05,1.11,0.07,0.28,0.03,0.25,0.01,18.03,0.12,391,45,372,16,71,17
B3708_CS,RU,Tuscaloosa,49,3.9,2.13,0.24,8.20,0.14,9.10,0.15,45.88,0.48,1.11,0.09,7.18,0.12,1.19,0.03,0.41,0.06,6.20,0.07,1.05,0.08,0.19,0.04,0.14,0.01,17.14,0.14,371,59,132,18,117,21
B3709_CS,RU,Sodaville2,32,12.0,2.22,0.23,7.34,0.14,9.25,0.22,45.65,0.45,1.07,0.09,6.56,0.09,1.24,0.02,0.52,0.06,6.75,0.06,1.12,0.08,0.24,0.03,0.23,0.01,17.71,0.12,305,50,325,18,87,18
B3720_CS,SD,Trebia,52,9.0,2.34,0.20,7.21,0.10,9.57,0.12,46.06,0.42,0.99,0.08,5.16,0.07,0.78,0.02,0.47,0.06,7.39,0.06,1.12,0.07,0.35,0.03,0.34,0.01,18.14,0.12,278,44,237,14,94,17
B3727_CS,SD,Barstow,55,2.9,2.36,0.26,7.43,0.17,9.32,0.25,45.65,0.52,0.89,0.10,5.11,0.10,0.64,0.02,0.48,0.06,7.22,0.08,1.18,0.08,0.49,0.04,0.38,0.02,18.76,0.16,271,59,267,24,65,20
B3734_CS,RU,RosebudCanyon,51,9.0,2.17,0.19,5.33,0.08,8.37,0.11,46.01,0.42,0.85,0.08,7.82,0.10,1.59,0.02,0.70,0.06,5.75,0.05,1.03,0.07,0.26,0.03,0.12,0.01,19.78,0.13,419,48,718,21,559,23
B3741_CS,RU,CapeFairweather1,52,3.4,1.86,0.39,7.31,0.20,7.15,0.16,39.56,0.44,1.02,0.10,17.88,0.23,0.88,0.03,0.51,0.06,6.38,0.07,0.78,0.08,0.19,0.04,0.18,0.01,16.22,0.14,311,58,276,22,114,20
B3742_CS,RU,CapeFairweather2,42,2.4,2.01,0.43,7.39,0.20,7.71,0.14,42.31,0.49,0.98,0.10,12.66,0.20,0.83,0.03,0.55,0.07,6.29,0.08,0.94,0.08,0.32,0.04,0.34,0.02,17.54,0.15,318,72,477,34,297,26
B3748_CS,SD,IcyStrait,54,12.0,2.22,0.19,7.34,0.09,9.06,0.11,45.62,0.40,0.88,0.07,5.56,0.07,0.65,0.01,0.48,0.06,7.20,0.05,1.07,0.07,0.46,0.03,0.40,0.01,18.97,0.12,332,42,279,13,45,15
B3753_CS,RU,MountEdgecumbe,55,10.5,2.67,0.19,6.71,0.09,11.42,0.13,46.68,0.42,1.16,0.08,4.66,0.06,0.68,0.01,0.45,0.06,7.63,0.05,1.33,0.07,0.21,0.03,0.34,0.01,15.91,0.10,794,48,252,12,56,15
B3796_CS,RB,HooverONbrushed,52,9.0,2.04,0.30,6.54,0.14,7.56,0.12,42.20,0.39,1.19,0.09,9.71,0.11,1.61,0.02,0.54,0.06,7.72,0.06,0.97,0.07,0.22,0.03,0.34,0.01,19.20,0.13,549,50,666,21,44,15
B3800_CS,RU,Victory1,30,7.5,2.65,0.23,6.15,0.10,11.99,0.14,47.73,0.43,1.29,0.09,4.02,0.07,0.64,0.02,0.41,0.06,7.53,0.07,1.21,0.08,0.19,0.04,0.30,0.01,15.86,0.11,116,54,112,17,20,17
B3802_CS,RU,Victory2,36,9.0,2.72,0.22,6.09,0.10,12.30,0.16,47.79,0.46,1.31,0.08,3.73,0.07,0.61,0.02,0.38,0.06,7.46,0.06,1.31,0.09,0.17,0.03,0.30,0.01,15.79,0.12,152,47,124,14,31,17
B3809_CS,RU,Margarete,55,7.5,2.82,0.21,6.05,0.10,12.56,0.15,48.20,0.45,1.17,0.08,4.02,0.06,0.46,0.01,0.39,0.06,7.32,0.06,1.21,0.07,0.17,0.03,0.35,0.01,15.22,0.11,303,44,103,11,17,15
B3812_CS,RB,Margarete_Brush,55,2.5,2.75,0.28,6.23,0.14,12.56,0.19,48.37,0.52,1.20,0.10,3.72,0.09,0.42,0.02,0.36,0.06,7.35,0.08,1.23,0.09,0.18,0.04,0.36,0.02,15.23,0.14,289,61,111,19,20,17
B3819_CS,RU,Birmingham,30,7.5,2.46,0.23,6.47,0.11,11.23,0.16,46.70,0.47,1.28,0.09,4.93,0.08,0.98,0.02,0.47,0.06,7.56,0.07,1.15,0.08,0.15,0.04,0.34,0.01,16.10,0.12,452,61,262,21,153,19
B3836_CS,SU,RockCreek,53,3.1,2.21,0.25,7.06,0.13,9.51,0.16,45.56,0.50,1.06,0.09,6.53,0.12,0.88,0.03,0.49,0.06,7.18,0.08,1.09,0.09,0.27,0.04,0.34,0.02,17.76,0.15,282,59,257,23,125,23
B3848_CS,RU,Cottondale1,49,2.6,1.88,0.28,6.03,0.17,7.18,0.23,36.09,0.48,1.02,0.13,19.15,0.27,0.85,0.03,0.39,0.07,13.24,0.13,0.72,0.08,0.25,0.04,0.27,0.02,12.87,0.13,199,60,192,23,102,22
B3849_CS,RU,Cottondale2,48,2.7,1.90,0.23,6.27,0.11,7.87,0.12,39.31,0.35,1.11,0.09,15.17,0.19,0.87,0.03,0.44,0.06,10.70,0.10,0.91,0.08,0.20,0.04,0.34,0.02,14.86,0.10,254,62,171,23,98,20
B3851_CS,RB,Calera,52,9.0,2.30,0.19,7.02,0.09,8.73,0.11,43.19,0.40,1.19,0.08,10.69,0.12,0.99,0.02,0.43,0.06,6.56,0.05,1.10,0.07,0.20,0.03,0.46,0.01,17.06,0.12,483,47,163,13,78,16
B3853_CS,RB,Calera2,38,2.9,2.08,0.27,6.90,0.15,8.72,0.17,43.56,0.52,1.18,0.10,10.76,0.19,0.89,0.03,0.46,0.07,6.47,0.08,1.08,0.09,0.20,0.04,0.50,0.02,17.12,0.17,420,73,133,24,86,21
B3856_CS,RB,LocustFork,51,2.3,2.32,0.28,6.88,0.15,8.93,0.17,43.35,0.51,1.19,0.10,11.04,0.18,1.11,0.03,0.42,0.07,6.28,0.08,1.10,0.09,0.20,0.04,0.50,0.02,16.60,0.16,332,66,161,23,60,21
B3925_CS,SU,LiverEatingJohnson,26,3.0,1.60,0.30,6.92,0.19,8.72,0.20,45.66,0.59,1.00,0.11,6.96,0.16,0.79,0.03,0.54,0.07,7.28,0.10,0.99,0.10,0.36,0.05,0.39,0.03,18.69,0.20,294,87,350,40,31,25
B3935_CS,RU,JeanBaptisteCharbonneau,51,2.2,3.27,0.27,4.04,0.19,16.16,0.33,52.70,0.51,0.92,0.11,3.19,0.09,0.51,0.02,0.44,0.07,7.25,0.08,0.91,0.08,0.01,0.03,0.18,0.01,10.35,0.08,0,20,50,16,86,19
B3951_SM,RB,SgtCFloyd_Brush,52,3.8,2.39,0.26,10.96,0.17,12.55,0.19,48.85,0.51,0.97,0.09,2.80,0.07,0.53,0.02,0.28,0.06,5.71,0.06,0.73,0.07,0.27,0.04,0.28,0.01,13.65,0.12,21,46,74,15,27,18
B3952_CS,RB,SgtCFloyd2_Brush,53,1.8,2.52,0.30,10.65,0.20,12.26,0.23,48.63,0.58,1.01,0.10,3.04,0.09,0.57,0.02,0.29,0.06,5.77,0.08,0.67,0.08,0.26,0.04,0.25,0.02,14.04,0.15,107,59,85,21,21,20
B3953_CS,RB,SgtCFloyd3_Brush,54,1.8,2.43,0.32,10.46,0.20,12.53,0.21,48.40,0.55,1.01,0.10,3.09,0.10,0.52,0.02,0.30,0.06,5.81,0.08,0.58,0.08,0.27,0.04,0.29,0.02,14.27,0.15,0,21,69,21,78,22
B3959_CS,RU,SgtNathanielPryor,45,2.0,2.74,0.25,4.27,0.10,18.39,0.22,51.65,0.46,0.85,0.09,2.88,0.08,0.48,0.02,0.29,0.06,8.47,0.10,0.63,0.08,0.03,0.04,0.16,0.01,9.07,0.08,0,20,111,21,32,18
B3961_SM,RU,SgtNathanielPryor2,49,4.4,2.88,0.27,4.61,0.14,18.22,0.25,51.10,0.52,0.81,0.09,2.81,0.07,0.47,0.02,0.25,0.06,8.43,0.08,0.53,0.08,0.05,0.03,0.17,0.01,9.57,0.09,0,20,63,13,26,17
B3970_CS,RB,Athens_Brush,49,9.0,1.82,0.26,7.88,0.12,8.31,0.10,44.03,0.35,0.97,0.08,15.81,0.15,0.65,0.02,0.38,0.06,5.87,0.04,0.96,0.07,0.20,0.03,0.18,0.01,12.82,0.07,737,48,100,11,55,15
B3975_CS,RB,Thessaloniki,59,9.0,1.86,0.17,7.54,0.08,8.34,0.09,43.76,0.28,0.75,0.07,15.21,0.13,0.88,0.02,0.40,0.06,5.09,0.04,0.95,0.07,0.19,0.03,0.20,0.01,14.74,0.07,562,44,163,11,33,14
B3977_CS,RB,Thessaloniki2,41,1.7,1.82,0.34,7.43,0.19,8.74,0.21,45.07,0.60,0.65,0.11,14.78,0.27,0.69,0.03,0.39,0.07,4.66,0.08,1.01,0.09,0.17,0.05,0.19,0.02,14.30,0.17,533,86,103,28,19,25
B3978_CS,RB,Thessaloniki3,50,1.8,1.77,0.51,7.63,0.28,8.49,0.23,44.06,0.56,0.70,0.12,14.63,0.25,0.86,0.03,0.42,0.07,5.11,0.08,0.97,0.09,0.22,0.04,0.21,0.02,14.83,0.16,457,76,187,29,39,20
B3984_CS,RU,Thermopylae1,39,7.5,1.98,0.22,7.18,0.11,8.71,0.12,43.46,0.42,2.35,0.10,10.75,0.14,0.77,0.02,0.40,0.06,5.88,0.06,1.04,0.09,0.20,0.03,0.30,0.01,16.84,0.13,772,59,148,16,67,17
B3986_CS,RU,Thermopylae2,35,9.0,1.56,0.22,6.74,0.13,9.36,0.19,49.99,0.50,1.34,0.10,10.16,0.13,0.76,0.02,0.47,0.06,6.18,0.06,1.13,0.08,0.22,0.03,0.17,0.01,11.72,0.10,502,52,104,14,80,17
B3991_CS,RU,Thermopylae3,29,7.5,1.63,0.22,6.68,0.14,8.75,0.21,43.82,0.48,0.97,0.10,11.06,0.15,1.09,0.03,0.45,0.06,6.88,0.07,1.01,0.08,0.22,0.04,0.34,0.02,16.99,0.14,521,64,184,20,60,19
B3993_CS,RU,Thermopylae4,46,9.0,2.21,0.22,6.88,0.13,10.02,0.20,46.56,0.44,0.89,0.08,5.82,0.08,0.70,0.02,0.47,0.06,7.40,0.06,1.02,0.07,0.39,0.03,0.34,0.01,17.21,0.12,308,47,231,15,73,16
