_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,google1_correct_website,google1_correct_website:confidence,google1_correct_website_found,google1_correct_website_found:confidence,google1_correct_website_worker_input,google1_correct_website_worker_input:confidence,info_about_park_on_a_list_website,info_about_park_on_a_list_website:confidence,info_about_park_on_a_list_website_worker_input,info_about_park_on_a_list_website_worker_input:confidence,park_info_found_on_state_website,park_info_found_on_state_website:confidence,google1_correct_website_found_gold,google1_correct_website_gold,info_about_park_on_a_list_website_gold,national_or_state,park_info_found_on_state_website_gold,park_name,park_state,park_wikipedia_url,state_park,unit_id
522769588,FALSE,,finalized,3,8/10/14 8:17,http://parks.ca.gov/?page_id=575,0.6622,yes,1,http://www.parks.ca.gov/?page_id=575,0.6622,,,,0,,,,,,state,,Monterey State Historic Park,California,http://en.wikipedia.org/wiki/Monterey_State_Historic_Park,,42936
522769589,FALSE,,finalized,3,8/10/14 7:13,http://outdoornebraska.ne.gov/parks/guides/parksearch/showpark.asp?Area_No=180,0.6386,yes,1,http://outdoornebraska.ne.gov/parks/guides/parksearch/showpark.asp?Area_No=180,0.6386,,,,0,,,,,,state,,Wagon Train State Recreation Area,Nebraska,http://en.wikipedia.org/w/index.php?title=Wagon_Train_State_Recreation_Area&action=edit&redlink=1,,53340
522769590,FALSE,,finalized,3,8/10/14 11:36,http://nps.gov/chir/,1,yes,1,http://www.nps.gov/chir/index.htm,1,,,,0,,,,,,national,,Chiricahua,Arizona,http://en.wikipedia.org/wiki/Chiricahua_National_Monument,,44995
522769591,FALSE,,finalized,3,8/10/14 11:14,http://dcnr.state.pa.us/stateparks/findapark/lymanrun/,1,yes,1,http://www.dcnr.state.pa.us/stateparks/findapark/lymanrun/,1,,,,0,,,,,,state,,Lyman Run State Park,Pennsylvania,http://en.wikipedia.org/wiki/Lyman_Run_State_Park,,45793
522769592,FALSE,,finalized,3,8/10/14 8:01,http://parks.ca.gov/?page_id=565,1,yes,1,http://www.parks.ca.gov/?page_id=565,1,,,,0,,,,,,state,,Point Sur State Historic Park,California,http://en.wikipedia.org/wiki/Point_Sur_State_Historic_Park,,56393
522769593,FALSE,,finalized,3,8/10/14 7:39,http://parks.ca.gov/?page_id=835,1,yes,1,http://www.parks.ca.gov/?page_id=835,1,,,,0,,,,,,state,,Malibu Lagoon State Beach,California,http://en.wikipedia.org/wiki/Malibu_Lagoon_State_Beach,,19316
522769594,FALSE,,finalized,3,8/10/14 7:31,http://floridastateparks.org/honeymoonisland/,1,yes,1,http://www.floridastateparks.org/honeymoonisland/,1,,,,0,,,,,,state,,Honeymoon Island State Park,Florida,http://en.wikipedia.org/wiki/Honeymoon_Island_State_Park,,13015
522769595,FALSE,,finalized,3,8/10/14 7:52,http://ct.gov/deep/cwp/view.asp?a=2716&q=325274&deepNav_GID=1650%20,0.6947,yes,1,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=325274&deepNav_GID=1650%20,0.6947,,,,0,,,,,,state,,Wadsworth Falls State Park,Connecticut,http://en.wikipedia.org/wiki/Wadsworth_Falls_State_Park,,21835
522769596,FALSE,,finalized,3,8/10/14 11:44,http://dcr.virginia.gov/state-parks/twin-lakes.shtml#general_information,1,yes,1,http://www.dcr.virginia.gov/state-parks/twin-lakes.shtml#general_information,1,,,,0,,,,,,state,,Twin Lakes State Park,Virginia,http://en.wikipedia.org/wiki/Twin_Lakes_State_Park_(Virginia),,38268
522769597,FALSE,,finalized,3,8/10/14 7:43,,0,no,0.6908,,0,,,,0,no,0.6908,,,,state,,Middle Peninsula State Park,Virginia,http://en.wikipedia.org/w/index.php?title=Middle_Peninsula_State_Park&action=edit&redlink=1,,22818
