--------------------
BDMEP - INMET
--------------------
Estação           : **SAO PAULO MIR de SANTANA  - SP (OMM: 83781)**
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: **01/01/2000 a 27/08/2015**
Os dados listados abaixo são os que encontram-se digitados no BDMEP

--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83781;31/01/2004;0000;5;2.377885;5;98.9;;;;9.204301;18;284.5;;922.945161;26.748387;21.538065;18.36129;81.620968;;
83781;29/02/2004;0000;5;3.088506;6.6;107.7;;;;7.988506;15;335.6;;924.26092;26.931034;21.516552;17.962069;79.491379;;
83781;31/03/2004;0000;9;2.372043;6.6;110.4;;;;8.451613;17;130.7;;925.335484;26.796774;21.083226;17.590323;79.524194;;
83781;30/04/2004;0000;32;2.811111;5.8;100.2;;;;7.944444;14;123.4;;926.085556;26.556667;21.386667;17.95;78.791667;;
83781;31/05/2004;0000;32;2.504301;6.6;88.5;;;;8.064516;13;60.1;1017.2;927.783871;22.087097;17.250968;14.190323;81.314516;;
83781;30/06/2004;0000;5;2.136667;5.6;92.4;;;;7.177778;8;66.8;;930.347778;22.343333;16.814;12.736667;72.716667;;
83781;31/07/2004;0000;5;2.334409;5.5;91.7;;;;7.16129;8;97.4;;930.021505;21.164516;16.092258;12.529032;76.137097;;
83781;31/08/2004;0000;0;1.675269;5;130.7;;;;6.11828;1;2.7;;930.229032;24.358065;17.629677;12.890323;67.653226;;
83781;30/09/2004;0000;14;2.258889;8;164.8;;;;6.588889;4;9.3;;927.383333;28.763333;21.226667;16.333333;64;;
83781;31/10/2004;0000;14;2.452688;6;101.2;;;;9;16;97.4;;925.719355;24.816129;19.322581;15.516129;74.758065;;
83781;30/11/2004;0000;14;2.746667;6.6;136.5;;;;8.411111;12;173.6;;924.303333;26.533333;20.998;17.11;72.583333;;
83781;31/12/2004;0000;14;2.308602;6.3;110.5;;;;8.526882;17;262.9;;923.823656;27.093548;21.490968;17.712903;77.008065;;
83781;31/01/2005;0000;14;2.225806;5;86.1;;;;8.752688;21;312.1;;923.045161;27.354839;22.501935;19.348387;79.056452;;
83781;28/02/2005;0000;14;2.116667;6;115.4;;;;7.357143;11;99.9;;924.036905;28.164286;22.188571;18.217857;72.8125;;
83781;31/03/2005;0000;0;1.648387;5.6;106.5;;;;7.795699;14;286.6;;925.122581;27.729032;22.477419;19.083871;75.225806;;
83781;30/04/2005;0000;5;2.276667;5.8;111.7;;;;7.333333;9;133.2;1015.13;926.82;27.626667;22.262667;18.726667;73.65;;
83781;31/05/2005;0000;5;2.007527;4.8;105.9;;;;6.634409;7;199;;927.788172;25.151613;19.68;15.667742;71.225806;;
83781;30/06/2005;0000;5;1.79;5;93.6;;;;6.266667;4;30.4;;929.344444;24.036667;18.701333;14.786667;72.45;;
83781;31/07/2005;0000;5;2.458065;6.6;133.6;;;;6.473118;5;13.7;;930.878495;22.351613;17.00129;13.006452;70.225806;;
83781;31/08/2005;0000;5;2.273118;7.1;154.4;;;;5.236559;3;9.5;;928.648387;26.151613;19.452258;14.658065;64.08871;;
83781;30/09/2005;0000;5;2.503333;5.8;83.7;;;;9.3;13;138.8;;928.12;23.403333;18.109333;14.48;78.05;;
83781;31/10/2005;0000;5;2.465591;12;107.6;;;;8.913978;15;172.1;;925.582796;26.767742;21.050968;17.380645;77.975806;;
83781;30/11/2005;0000;5;3.073333;6.6;108;;;;8.455556;9;106.1;;924.198889;26.203333;20.599333;16.836667;74.875;;
83781;31/12/2005;0000;5;2.719211;6.5;118.6;;;;8.795699;15;228.2;;923.74086;26.877419;21.091613;17.183871;74.83871;;
83781;31/01/2006;0000;36;1.84086;5;137;;;;7.946237;14;348;;924.425806;29.719355;23.738065;19.806452;72.056452;;
83781;28/02/2006;0000;32;2.486905;6;103.2;;;;7.952381;13;166;;922.915476;28.660714;23.587143;20.185714;78.044643;;
83781;31/03/2006;0000;23;2.260215;6.3;95.2;;;;8.107527;21;607.9;;924.053763;28.658065;22.786452;19.241935;82.653226;;
83781;30/04/2006;0000;23;2.686667;6.3;93.7;;;;7.133333;4;51.1;;925.471111;25.983333;20.558667;16.973333;74.091667;;
83781;31/05/2006;0000;18;2.24086;4.5;98.6;51.158036;51.158036;;7.150538;3;15;;928.112903;22.16129;17.040645;13.448387;74.435484;;
83781;30/06/2006;0000;14;2.385556;6.3;104.9;49.237246;49.237246;;6.777778;2;24.2;1019.78;930.178889;22.906667;17.254667;13.373333;71.366667;;
83781;31/07/2006;0000;0;1.78172;5;120.5;57.051409;57.051409;;4.946237;7;71;;929.545161;24.354839;18.104516;13.274194;67.120968;;
83781;31/08/2006;0000;23;2.45914;6.3;143.1;65.174829;32.553309;204.5;6.129032;4;5.8;1017.07957;927.91828;25.325806;18.86;14.125806;63.637097;;
83781;30/09/2006;0000;14;2.813333;10;134.7;64.097024;64.097024;164.7;7.733333;7;77.7;;927.47;24.75;18.480667;14.25;69.425;;
83781;31/10/2006;0000;14;2.667742;6.3;100.5;83.810119;83.810119;162.2;8.043011;12;100.4;;925.311828;26.151613;20.215484;16.625806;75.008065;;
83781;30/11/2006;0000;14;2.961111;6.3;87.3;91.07438;91.07438;152;8.477778;15;230.7;;924.141111;26.65;20.926;17.173333;74.15;;
83781;31/12/2006;0000;32;3.553763;8.3;88.5;113.783169;113.783169;141;9.010753;18;311.5;;924.186022;28.319355;22.661935;19.312903;77.120968;;
83781;31/01/2007;0000;32;2.675269;6.6;84.4;113.664993;113.664993;110.5;9.032258;18;213.5;;923.184946;27.425806;22.793548;19.764516;78.024194;;
83781;28/02/2007;0000;14;2.740145;5.3;108.9;107.748607;107.748607;190.7;7.392857;10;285.9;;924.317857;29.975;23.732143;19.378571;71.696429;;
83781;31/03/2007;0000;5;2.32043;5;105.6;116.435095;116.435095;230.6;6.268817;11;185.4;;925.483871;30.716129;24.089032;19.816129;68.774194;;
83781;30/04/2007;0000;14;2.726667;6.1;75.8;87.307779;87.307779;155.9;8.433333;9;124.8;;926.906667;27.26;21.862;18.506667;76.65;;
83781;31/05/2007;0000;14;2.735484;6;91.5;56.169653;56.169653;163.8;7;8;59;;927.664516;23.083871;17.76129;13.993548;74.693548;;
83781;30/06/2007;0000;5;2.28;5.3;96.5;57.72468;57.72468;205.7;5.066667;4;30.7;1017.88;928.626667;25.003333;18.626667;14.02;65.808333;;
83781;31/07/2007;0000;14;2.641935;6.6;108.8;47.269123;47.269123;152.5;7.408602;9;148.3;;928.462366;22.180645;16.484516;12.309677;69.354839;;
83781;31/08/2007;0000;14;2.532258;6.3;136.8;62.402125;62.402125;205.1;5.72043;0;0;;929.730108;25.390323;18.461935;13.758065;64.895161;;
83781;30/09/2007;0000;14;2.122222;6;143.3;78.185733;53.297875;186.4;5.966667;4;15.7;;929.083333;27.86;20.475333;15.563333;64.358333;;
83781;31/10/2007;0000;14;2.573118;5.3;118.5;93.346378;93.346378;167.4;7.430108;13;109.3;;925.710753;28.290323;21.29871;16.983871;71.790323;;
83781;30/11/2007;0000;14;3.368889;7.3;85.5;85.839409;85.839409;138.6;8.355556;16;219.9;1012.32;923.891111;26.09;20.338667;16.726667;75.858333;;
83781;31/12/2007;0000;14;2.42043;6;123.8;112.766784;112.766784;155.1;8.354839;13;230.9;;923.275269;28.703226;22.709677;18.677419;72.266129;;
83781;31/01/2008;0000;14;3.082796;6.6;78.7;102.79741;102.79741;114.7;8.666667;19;318.5;;923.744086;26.66129;21.599355;18.445161;77.629032;;
83781;29/02/2008;0000;14;2.750575;6.3;41.8;100.458836;100.458836;147.8;8.114943;18;236.3;;923.91954;28.289655;22.666207;19.003448;76.62931;;
83781;31/03/2008;0000;14;2.783871;5.6;86.2;97.451024;97.451024;172.1;7.537634;16;180.8;;924.243011;27.387097;22.131613;18.625806;75.491935;;
83781;30/04/2008;0000;14;2.292222;5.8;72.7;80.792157;80.792157;146;7.266667;12;96.6;;924.074444;25.986667;21.069333;17.513333;74.675;;
83781;31/05/2008;0000;14;2.578495;6.6;107;54.814547;54.814547;170.3;5.892473;7;80.3;;927.288172;22.925806;17.734194;13.929032;70.741935;;
83781;30/06/2008;0000;5;2.482222;7.6;88.4;48.066581;48.066581;129.2;7.944444;8;78.2;;928.588889;22.55;17.020667;13.253333;76.75;;
83781;31/07/2008;0000;5;1.834409;5;126.1;52.71027;40.968719;238.6;3.376344;0;0;;930.169892;24.322581;17.496774;12.551613;62.91129;;
83781;31/08/2008;0000;18;2.589247;6.6;79.5;65.292494;65.292494;164.7;6.236559;8;78.5;;927.405376;24.996774;18.853548;14.577419;69.725806;;
